,name,image_path
130,George Clooney,/zOwzwGOZIqL3W80VrwosH4BkoZ6.jpg
131,Elizabeth Banks,/w2RrVNLQa4ApXhpIgWTkpNVS2kd.jpg
132,John Malkovich,/nqiVrEVW3DAHS9K5L3JWO4sYngC.jpg
133,Diane Lane,/dMjEMuNXIT3g66qv92DOUVGBFC8.jpg
134,Renee Rea,/3NQM9oOLwlwutbtMWeLSIDusJsX.jpg
135,Angelina Jolie,/69LcCbHUpeh6WsESY8wcEiiZFjk.jpg
136,Rachelle Lefevre,/g6enujzJqgF3prYKp2vfvbrqhZ7.jpg
137,Hayden Christensen,/lz6mI2hhVrGu640fxm9GQkv4V7l.jpg
138,Nicole Kidman,/hnX12EBKXIK7XwBhLCGGcEnFdpf.jpg
139,Colin Farrell,/9FDzNq8cixv5PzJwjNXx1mJKAhU.jpg
140,Kate Winslet,/2kh86i0q6y8SeBsMGz0UJ3iHMYD.jpg
141,Carmen Electra,/oFjqvsVleDaMtuJaLnSJdx7LUOg.jpg
142,Olga Kurylenko,/8jqQXZ90lxE842F0slFRzNlCdsW.jpg
143,Natalie Portman,/a5I22pEXe7Ysn2BDod0C1PobPA8.jpg
144,Emma Stone,/psZLjAknmHVdSSNZqA6wBJ5tGxw.jpg
145,Natalie Martinez,/9F8hCTTuDfPn5DPjsSuwxaJVwT4.jpg
146,Sean Bean,/iIxP2IzvcLgr5WaTBD4UfSqaV3q.jpg
147,Ryan Reynolds,/3J19JiWqs4M75FFVqOdwn0DBU5q.jpg
148,Ryan Gosling,/5rOcicCrTCWye0O2S3dnbnWaCr1.jpg
149,Fajah Lourens,/zjQ6L7Roe8CJz5HLlDBUQi70iLw.jpg
150,Orla Brady,/3vZtTc5wlM23ClWKuPvaYS3DVj7.jpg
151,Nina Dobrev,/7Oc4jOZHWNYozxBxKdQr0NxoGjS.jpg
152,Harrison Ford,/7CcoVFTogQgex2kJkXKMe8qHZrC.jpg
153,Olivia Wilde,/3d69fgT1QOTDJxqy7FpBBAQxoM0.jpg
154,Ben Affleck,/yXtyygmSGtrwTfEmr6g2WgHFJIZ.jpg
155,Noomi Rapace,/nFD1t8MSFpgNcFgOLwEj9es9u2H.jpg
156,Fan Bingbing,/8DyH7uapvuJaTjrXv9ryhRARUC2.jpg
157,Jamie Lee Curtis,/c4poMDwQ0nUj81m4WPriiv96ExZ.jpg
158,Tara Elders,/sHinWyEDznd4XZHFf9sGnw8dM1X.jpg
159,Al Pacino,/ks7Ba8x9fJUlP9decBr6Dh5mThX.jpg
160,Mila Kunis,/fFrrlndob3xAzH7yhIcpAmWwqnD.jpg
161,Eddie Redmayne,/grB1xp10baoSVZnb4CC854ys94O.jpg
162,Gerard Butler,/wRKkVe5uugkx4KnmphBSjJUWPTo.jpg
163,Henry Winkler,/o3QkTZkDYMkKYJphYJkvMSx8eB3.jpg
164,Amanda Seyfried,/rkMBMJyRekUnZf59ipVRrtw74xk.jpg
165,Lena Headey,/h9eTactBDOMB3FGU4WodKBT2rLM.jpg
166,Kristen Wiig,/x5avlvpHlBGGLhzbzuSfmOsMGlw.jpg
167,Léa Seydoux,/19gU2MSmsauB9TIh8gcd8JzvD2g.jpg
168,Louise Fletcher,/A4Cn7LsuLlOXvOMKv5ez4ThyeZL.jpg
169,Channing Tatum,/pykInmL4Y8HXNX63kkI4RsJhalF.jpg
170,Anton Yelchin,/cUlF4fJMOYclUHA3bTFwlgFKNaH.jpg
171,Alec Baldwin,/i34dh4LKYlNOF67qSPJgzhddzyw.jpg
172,Tyler Perry,/fdBvkrv4lSKZ97eDLpmjlK1Tnbx.jpg
173,Peter Dinklage,/xuB7b4GbARu4HN6gq5zMqjGbkwF.jpg
